"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "regulation of transcription from RNA polymerase II promoter (GO:0006357)" "167/1478" 8.69730781713699e-06 0.0443823617908501 0 0 1.38045849407684 16.0857884974346 "CCNT2;WWC1;UBE2D3;WWC2;ATN1;HNRNPU;ARID4A;RORA;PRDM1;AHR;IKZF2;NR3C1;FGF1;FGF2;ETS2;ABRA;ELK4;ZNF568;MEF2C;ZBTB38;EBF1;RFX3;MITF;DICER1;MED4;POU3F2;DKK1;RUNX2;ADCYAP1;SFRP4;ZFYVE16;TBL1XR1;RFX4;HOXB2;PRKD1;ATF6;BLZF1;HOMEZ;AKNA;KMT2A;SRCAP;TSHZ3;TSHZ1;CTR9;GATA3;ZNF24;HIF1A;ZBTB2;HMBOX1;RAD21;CAMTA1;RPRD1A;ZNF148;PPARGC1A;ZNF300;BPTF;ZBTB18;SMAD2;WWTR1;DR1;JAG1;POU2F1;BCL11B;SS18L1;SLC33A1;NR2F1;NR1D2;INHBA;MED13L;SETX;BMP3;DLG1;TFCP2;JMY;REL;SP5;SNAI2;MDM4;SP7;RCOR3;CDK13;BMPR1B;OGT;BRWD3;FGFR2;BMPR1A;ZNF254;TENM2;CSRNP3;THRB;LDB1;BHLHE41;SIX1;HMGB1;LDB2;ZC3H6;EFCAB7;PHF6;MED17;TMEM100;MED14;TRPS1;ZMYM6;MYBL1;TEAD1;NCK1;MKL2;BRD3;CHUK;ITGA3;TCF12;TET2;TET1;ETV1;ARID1A;SIRT1;ZHX1;PAX2;KLF17;KAT2B;ZEB2;NR5A2;CREB1;ZEB1;NCOR1;TRAF6;TFEC;NCOA7;VGLL1;YAP1;HDAC4;NFAT5;RNASEL;USP15;HLF;PLAG1;TAF9;LIN9;HDAC8;TOB1;EGFR;DLL4;NSD1;BEND3;RBBP8;BRD8;ZNF224;LEFTY2;MEF2D;E2F7;SNCA;TCFL5;MBD4;PCGF5;MACC1;DAB2IP;CDC5L;DEK;ACVR2B;GRHL2;NFIA;NFIB;ZNF613;SSBP2;LPIN2;SSBP3;PF4"
"2" "ERBB signaling pathway (GO:0038127)" "19/80" 1.82821722174368e-05 0.04664696241279 0 0 2.90164935858277 31.6557879055784 "GAB1;CBLB;NRG1;PRKCA;PTPN11;PTPN12;PIK3C2A;EGFR;EREG;BTC;EPGN;PIK3CA;REPS2;ABL2;CPNE3;KRAS;GRB2;EPS15;HBEGF"
"3" "cytoplasmic microtubule organization (GO:0031122)" "14/48" 1.93489153597244e-05 0.0329125050268912 0 0 3.56342903685604 38.6734470356058 "CCDC13;VPS4B;AXIN1;CRIPT;FIGN;SLAIN2;HOOK3;TRDN;CCDC88A;DLG1;SLK;SPAST;TUBGCP4;CLASP1"
"4" "retinal ganglion cell axon guidance (GO:0031290)" "5/6" 2.04263069267185e-05 0.0260588610617611 0 0 10.1812258195887 109.9438702163 "ROBO2;NRP1;ALCAM;SLIT2;EPHB1"
"5" "establishment of protein localization to membrane (GO:0090150)" "19/83" 3.18184604229614e-05 0.0324739207076744 0 0 2.79677046610388 28.9618556547282 "RFTN2;ATG3;SYS1;ZDHHC20;RAB3IP;ZDHHC21;BRAF;ANK3;EGFR;ZDHHC15;GOLGA7B;REEP1;RABGEF1;RAB31;RILPL1;KIF13A;RAB3GAP2;BLZF1;SEC63"
"6" "epidermal growth factor receptor signaling pathway (GO:0007173)" "15/57" 3.79700939132641e-05 0.0322935648732311 0 0 3.215123943028 32.7258197291878 "GAB1;CBLB;PTPN11;PIK3C2A;EGFR;EREG;BTC;EPGN;PIK3CA;REPS2;ABL2;KRAS;GRB2;EPS15;HBEGF"
"7" "ERBB2 signaling pathway (GO:0038128)" "12/39" 4.20288009997194e-05 0.0306389959287954 0 0 3.7592218410789 37.882262813226 "BTC;PIK3CA;GAB1;CPNE3;NRG1;PRKCA;KRAS;GRB2;PTPN12;EGFR;EREG;HBEGF"
"8" "positive regulation of transcription from RNA polymerase II promoter (GO:0045944)" "102/848" 4.97944751557831e-05 0.0317626508399951 0 0 1.46955429282742 14.559765694191 "CCNT2;WWC1;HNRNPU;RORA;AHR;IKZF2;NR3C1;FGF1;FGF2;ABRA;ELK4;MEF2C;ZBTB38;EBF1;RFX3;MITF;RUNX2;ADCYAP1;TBL1XR1;RFX4;HOXB2;PRKD1;ATF6;AKNA;KMT2A;CTR9;GATA3;ZNF24;HIF1A;CAMTA1;SCAP;PPARGC1A;ZNF300;ZBTB18;SMAD2;WWTR1;JAG1;POU2F1;BCL11B;SS18L1;NR1D2;ERLIN2;INHBA;SETX;REL;SP7;CDK13;BMPR1B;OGT;FGFR2;BMPR1A;CSRNP3;THRB;LDB1;SIX1;HMGB1;LDB2;EFCAB7;MED17;MED14;MYBL1;TEAD1;NCK1;MKL2;CHUK;TCF12;TET2;TET1;ETV1;SIRT1;PAX2;KAT2B;ZEB2;NR5A2;CREB1;TRAF6;TFEC;NCOA7;VGLL1;YAP1;HDAC4;NFAT5;RNASEL;HLF;PLAG1;TAF9;EGFR;MEF2D;E2F7;MBD4;PCGF5;MACC1;DAB2IP;CDC5L;GRHL2;NFIA;NFIB;ZNF613;SSBP2;LPIN2;SSBP3;PF4"
"9" "regulation of cell-matrix adhesion (GO:0001952)" "14/52" 5.20081339547751e-05 0.0294886119523575 0 0 3.28931911094403 32.4462069479151 "GSK3B;JAG1;CSF1;LDB1;ROCK1;CASK;PIK3CB;SLK;CDK6;NF1;UTRN;CCL28;CLASP1;GPM6B"
"10" "glutamate receptor signaling pathway (GO:0007215)" "11/36" 9.39889152333199e-05 0.0479625434435631 0 0 3.73311613384918 34.614698555173 "GRIA2;GRM5;GRIN2A;GRM7;KCNB1;GRM8;GRIK1;GRIK2;PLCB1;GRIN2B;CPEB4"
