Enrichr_Libraries_Most_Popular_Genes
TargetScan microRNA 2017	47/101	8.665277e-25	1.039833e-22	0	0	5.685358	314.99897	SLC24A2;INO80D;ANKRD33B;CSRNP3;DCUN1D5;BNC2;FAXC;SYNPO2;TOR1AIP2;RORA;IKZF2;CACNA1E;LPP;PTAR1;GRIN2A;IPO9;SH3TC2;FUT9;UBN2;PSD3;ABL2;KCNN3;SOX6;RIMKLA;DISC1;MBNL3;PLXNA4;SCAI;SOCS4;FZD3;POU2F1;PRKCA;HELZ;C1ORF21;PHC3;PTPN14;ACVR2B;DCLK1;QKI;MKLN1;CDK6;ASPH;NFIA;DOK6;AAK1;STRN;VGLL3
MGI Mammalian Phenotype 2017	23/100	4.482734e-06	2.689640e-04	0	0	2.810018	 34.60616	KL;CSF1;CHUK;CHD7;CACNA1A;SIX1;MITF;PTPN11;AHR;PTGS2;SIRT1;RUNX2;PAX2;EGFR;GHR;PTPRC;ZEB1;APC;FSHR;FAS;IL6ST;FGFR2;FBN1
MGI Mammalian Phenotype 2013	22/100	1.529369e-05	6.117475e-04	0	0	2.687844	 29.80300	PDGFRA;CSF1;CHUK;MITF;PTPN11;AHR;DICER1;GATA3;PTGS2;HIF1A;LYST;SIRT1;EGFR;APC;NF1;FAS;KRAS;IL6ST;CFTR;FGFR2;FBN1;BMPR1A
TargetScan microRNA	25/127	3.158803e-05	9.476408e-04	0	0	2.405014	 24.92252	NFAT5;PLAG1;STC1;NLK;AFF4;PHF6;AP1G1;TRPS1;CAMTA1;PPARGC1A;PDGFRA;MEF2C;BCL11B;SEMA6D;TCF12;ESRRG;ARID1A;RSBN1;QKI;CNOT6;TBL1XR1;NOVA1;CPEB2;OGT;CPEB4
MGI Mammalian Phenotype Level 4	22/105	3.420127e-05	8.208306e-04	0	0	2.559851	 26.32358	PDGFRA;CSF1;CHUK;MITF;PTPN11;AHR;DICER1;GATA3;PTGS2;HIF1A;LYST;SIRT1;EGFR;APC;NF1;FAS;KRAS;IL6ST;DNM1L;FGFR2;FBN1;BMPR1A
dbGaP	21/106	1.198005e-04	2.396009e-03	0	0	2.420442	 21.85583	ABCA1;ROBO2;CNTNAP2;THSD7B;NEGR1;NRXN1;NRXN3;RORA;NRG1;GRIK2;FMN2;PLXDC2;LPP;LRP1B;PTPRD;FAM155A;GRM7;PALLD;CTNNA3;CNTN4;MDGA2
TF-LOF Expression from GEO	23/124	1.655131e-04	2.837368e-03	0	0	2.266144	 19.73009	ABCA1;NRP1;CXADR;CADM1;GSTO1;CELF2;HSPB8;PCDH7;LPP;MARCKS;SOAT1;ASPH;OSTM1;TBL1XR1;NFIB;IVD;TTC3;PIP4K2A;IDS;TGFBI;PDLIM5;CD44;TMPO
MGI Mammalian Phenotype Level 3	21/112	2.677813e-04	4.016720e-03	0	0	2.290776	 18.84241	PDGFRA;CSF1;CHUK;MITF;AP3B1;PTPN11;AHR;DICER1;GATA3;NR3C1;PTGS2;HIF1A;LYST;SIRT1;EGFR;APC;FAS;KRAS;IL6ST;FGFR2;BMPR1A
Genome Browser PWMs	19/102	5.597820e-04	7.463760e-03	0	0	2.275803	 17.04113	MEF2C;POU2F1;BCL11B;BNC2;LMO4;PLAG1;ELAVL4;MITF;ESRRG;ETV1;PRDM1;NOL4;TOB1;ELAVL2;PPP2R2B;JARID2;PPARGC1A;HOXB6;PDZRN4
WikiPathways 2016	19/104	7.180485e-04	8.616582e-03	0	0	2.232038	 16.15766	GSK3B;MEF2C;CHUK;PRKCA;BRAF;PTPN11;PIK3CB;EGFR;CASP9;MAPK10;CREB1;PIK3CA;APC;CASP3;FAS;GRB2;KRAS;MAP3K7;MAP2K6
