"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "microtubule (GO:0005874)" "32/210" 4.23503701711287e-05 0.0188882650963234 0 0 2.12229738692134 21.3705444141574 "TUBGCP2;ARL3;KATNB1;BICD1;CAMSAP1;TUBA1A;CAPN6;KIF3B;KIF5C;KIF5B;CDC27;KIF5A;KIF1C;KIF21A;KIF1B;FSD1;CLASP1;KIF23;TUBA4A;CYLD;TPPP3;KATNAL1;SELENOS;SYNJ1;APC;TBL1XR1;KIF16B;MAP1A;SARM1;SRPRB;CALM1;CDK5R1"
"2" "perinuclear region of cytoplasm (GO:0048471)" "48/378" 8.39637519251859e-05 0.0187239166793165 0 0 1.76858115576779 16.5983558862001 "RAB3B;APP;TFRC;SRCAP;CSF1;WWC1;RASEF;VPS4A;PTPRM;BICD1;TNFSF13B;TMEM100;TRMT112;COL4A3BP;ATXN2;RAB40B;CAPN6;KIF5B;VTI1A;PSMF1;ATP7A;EIF4E;DYNC1I1;VTI1B;RAB4B;BDNF;PTCH1;GALNT1;SLC11A2;VPS33B;ANGEL1;M6PR;CIDEB;ADAM10;TSC1;MYRIP;RNF41;VAMP8;TPPP3;SYNJ1;APC;TRAF6;RAPGEF2;NF2;LCP1;PAFAH1B1;LIMS1;CDK5R1"
"3" "endoribonuclease complex (GO:1902555)" "6/13" 0.000149797872601129 0.0222699503933678 0 0 6.42811227769445 56.6073946126629 "AGO3;AGO4;POP4;AGO1;DICER1;TARBP2"
"4" "RISC-loading complex (GO:0070578)" "5/9" 0.000186912374526289 0.0208407297596812 0 0 7.73754255648406 66.4258018906767 "AGO3;AGO4;AGO1;DICER1;TARBP2"
"5" "RISC complex (GO:0016442)" "5/9" 0.000186912374526289 0.016672583807745 0 0 7.73754255648406 66.4258018906767 "AGO3;AGO4;AGO1;DICER1;EIF4E"
"6" "RNAi effector complex (GO:0031332)" "5/9" 0.000186912374526289 0.0138938198397875 0 0 7.73754255648406 66.4258018906767 "AGO3;AGO4;AGO1;DICER1;EIF4E"
"7" "endoplasmic reticulum subcompartment (GO:0098827)" "6/14" 0.000246230476279147 0.0156883989172142 0 0 5.96896140071627 49.5975481408724 "FKBP1A;REEP1;RAB10;ZFYVE27;RTN4;RNF41"
"8" "microtubule cytoskeleton (GO:0015630)" "47/388" 0.000299641232619138 0.0167049987185169 0 0 1.68710335123338 13.6873424331846 "TUBGCP2;KATNB1;CAMSAP1;ACTR1A;TUBA1A;KIF3B;PPP2R1A;KIF5C;PODXL;KIF5B;CHORDC1;CDC27;KIF5A;MAP7;KIF1C;KIF21A;KIF1B;FSD1;MAP4;HOXC8;CEP55;CLASP1;RAB11FIP5;ESRRA;SEPT11;GAS2L3;ANXA11;KIF23;NAV1;TUBA4A;SEPT2;CYLD;EML6;THAP6;TPPP3;LATS2;SYNJ1;APC;KATNAL1;KIF16B;MAP1A;CDC42EP2;SARM1;MMS19;PHIP;TACC1;CDK5R1"
"9" "recycling endosome (GO:0055037)" "20/119" 0.000300914397563594 0.0149119801459292 0 0 2.34076917675148 18.9805592732832 "RAB4B;TFRC;ATG9A;SLC11A2;MYO5A;NSG1;FCHSD1;VAMP8;RAP2C;RAB10;ZFYVE27;TUBA1A;FCHSD2;SLC9A6;RAB35;DENND6A;AVL9;DYNC1I1;VTI1B;RAB11FIP5"
"10" "protein kinase complex (GO:1902911)" "4/6" 0.000352947625179879 0.0157414640830226 0 0 9.28505106778087 73.8086432927969 "CAB39;IRS1;INSR;NEK10"
