"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "Insulin Signaling WP481" "37/160" 1.46358999108293e-10 6.90814475791144e-08 0 0 3.22075208913649 72.9337977656137 "SNAP25;PRKAA1;STXBP3;IRS1;STXBP1;PTEN;CBLC;PIK3R1;PIK3C2A;FOXO1;IGF1R;IKBKB;LIPE;RPS6KA3;MAPK9;RPS6KA6;MAPK8;KIF5B;GRB10;MAP3K9;MAP3K7;EIF4E;MAP3K4;MAP2K6;MAP2K3;MAP2K1;INSR;PRKCD;MINK1;TSC1;MYO1C;RPS6KB1;RAPGEF1;RAF1;MAP3K13;SGK1;SOS2"
"2" "TGF-beta Signaling Pathway WP366" "32/132" 7.10715954935496e-10 1.67728965364777e-07 0 0 3.37638220646577 71.1226412315049 "YAP1;APP;ROCK1;PIK3R1;CDC42;MAPK9;MAPK8;CCND1;TERT;PRKAR2A;SNIP1;BTRC;MAP3K7;SKIL;RNF111;MAP2K6;MAP2K3;MAP2K1;SMURF2;SMURF1;ITGA2;WWP1;PIAS2;PIAS1;SMAD7;TGFBR3;SKI;PPM1A;TRAF6;SIK1;RAF1;DCP1A"
"3" "MAPK Signaling Pathway WP382" "46/246" 1.74023966584235e-09 2.73797707425864e-07 0 0 2.60434359218244 52.5276387511551 "PTPRR;FGF1;FGF2;CACNA1E;CRKL;ELK4;IKBKB;CDC42;RPS6KA3;CACNA1I;MAPK9;FGF7;MAPK8;FGF9;MKNK1;AKT3;GNA12;MAP3K7;MAP3K4;MAP2K6;MAP2K3;HSPA8;NTRK2;MAP2K1;CHUK;BDNF;CACNA2D1;PRKCD;NFATC3;DUSP9;CDC25B;PPM1A;MRAS;CACNB4;TAOK1;TRAF6;FGF18;NF1;RAPGEF2;KRAS;RAF1;FGFR4;MAP3K13;LAMTOR3;SOS2;FGFR1"
"4" "Breast cancer pathway WP4262" "32/154" 3.95238280383048e-08 4.66381170851997e-06 0 0 2.89404189125638 49.3328860266694 "NOTCH2;WNT2B;PTEN;PIK3R1;FGF1;FGF2;DLL1;IGF1R;LRP6;DLL4;FGF7;CCND1;FGF9;AKT3;E2F3;WNT4;WNT10B;MAP2K1;WNT3A;FZD6;WNT7A;IGF1;AXIN2;ESR2;CDK6;APC;RPS6KB1;FGF18;KRAS;RAF1;SOS2;FGFR1"
"5" "Angiopoietin Like Protein 8 Regulatory Pathway WP3915" "28/132" 1.74419525250875e-07 1.64652031836826e-05 0 0 2.95433443065755 45.9747685596233 "PRKAA1;THRB;IRS1;CBLC;PIK3R1;PIK3C2A;FOXO1;RPS6KA3;MAPK9;RPS6KA6;MAPK8;RICTOR;MAP3K9;MAP3K7;EIF4E;MAP3K4;MAP2K6;MAP2K3;MAP2K1;INSR;MINK1;TSC1;RPS6KB1;FASN;RAPGEF1;RAF1;MAP3K13;SOS2"
"6" "DNA Damage Response (only ATM dependent) WP710" "25/110" 1.9547130263757e-07 1.53770758074888e-05 0 0 3.16535831856166 48.8979876483707 "WNT2B;IRS1;PTEN;PIK3R1;PIK3C2A;CDC42;MAPK9;CCND3;MAPK8;CCND2;CCND1;AKT3;MAP3K7;MAP3K4;WNT4;WNT10B;WNT3A;INSR;WNT7A;PPP2R5C;FOSL1;APC;BCL2;KRAS;SOS2"
"7" "ESC Pluripotency Pathways WP3931" "25/116" 5.72546463838329e-07 3.86059901330988e-05 0 0 3.00163288829123 43.1429856199823 "WNT2B;PTEN;FGF1;FGF2;LRP6;FGF7;FGF9;AKT3;MAP2K6;WNT4;MAP2K3;WNT10B;ACTR2;MAP2K1;FZD4;WNT3A;FZD6;WNT7A;SMAD7;APC;FGF18;RAF1;FGFR4;FGFR1;BMPR1A"
"8" "Wnt Signaling Pathway and Pluripotency WP399" "23/102" 6.91323248859173e-07 4.07880716826912e-05 0 0 3.14053197880824 44.5473730747516 "WNT10B;WNT2B;FZD4;WNT3A;PRKCD;FZD6;WNT7A;ZBTB33;AXIN2;PPP2R5C;NKD1;LRP6;FOSL1;MAPK9;CCND3;CCND2;CCND1;PPP2R1B;APC;PPP2R1A;MAP3K7;WNT4;PAFAH1B1"
"9" "Epithelial to mesenchymal transition in colorectal cancer WP4239" "30/159" 9.29333663363295e-07 4.87383876786083e-05 0 0 2.62784464182478 36.4976034020305 "NOTCH2;NRP2;WNT2B;EIF5A2;PIK3R1;CLDN2;RBPJ;NR2C2;DLL1;LRP6;DLL4;MAPK8;AKT3;MAP2K6;WNT4;MAP2K3;SUZ12;WNT10B;MAP2K1;FZD4;WNT3A;EED;FZD6;WNT7A;LATS2;TRAF6;CLDN12;KRAS;RAF1;SOS2"
"10" "Signaling Pathways in Glioblastoma WP2261" "20/82" 9.73920531677647e-07 4.59690490951849e-05 0 0 3.39696990284666 47.0206404181189 "MAP2K3;MAP2K1;IRS1;PRKCD;PTEN;TSC1;PIK3R1;PIK3C2A;FOXO1;IGF1R;CCND2;CDK6;CCND1;CCNE1;AKT3;NF1;KRAS;RAF1;MAP2K6;FGFR1"
