"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "TargetScan microRNA 2017" "26/101" 9.30352961613368e-11 1.11642355393604e-08 0 0 4.39668219597365 101.554750753811 "RAB3B;INO80D;CSRNP3;BNC2;ONECUT2;NUFIP2;SYNPO2;CUX1;UBN2;LAMP2;PSD3;KIF1B;SOX6;PPARGC1B;FZD3;KLF12;CBX5;MICAL3;KSR2;ENAH;MKLN1;DOK6;AAK1;LCOR;PGR;TNRC6B"
"2" "dbGaP" "19/106" 1.13907267561579e-05 0.000683443605369475 0 0 3.06140534618049 34.8470922360454 "RYR2;PCDH9;NRXN1;GLIS3;CACNA1C;FMN2;PLXDC2;HDAC9;SGCZ;NRG3;ZMIZ1;ERBB4;HECTD4;MACROD2;NXPH1;ZNF385D;ASTN2;SOX5;ZPR1"
"3" "TargetScan microRNA" "21/127" 1.47118676497047e-05 0.00058847470598819 0 0 2.82415594720173 31.4239767346556 "MBNL1;KLF12;BCL11B;FMR1;SATB2;TCF12;RNF38;PCDH19;AFF4;PHF6;PHF20L1;PURB;HIC2;NR4A3;RPS6KB1;SP1;PLAGL2;E2F3;KPNA3;CSNK1G1;TNRC6B"
"4" "miRTarBase 2017" "18/102" 2.39606753129473e-05 0.000718820259388419 0 0 3.01401517054303 32.0663985535733 "RAB5B;RNF11;NUFIP2;KLHL15;CELF1;GDE1;STK4;PURB;CCND2;ZMAT3;UBN2;NFIC;NACC1;CREBRF;LCOR;PLAGL2;ALDOA;TNRC6B"
"5" "TF-LOF Expression from GEO" "19/124" 0.000107354125448371 0.0025764990107609 0 0 2.61700779592849 23.9178224408869 "CXADR;CBX5;NAP1L1;PPP2R5C;ATP1B1;NDRG1;TMEM164;FOSL2;ENAH;LDHB;CCND2;TSPAN6;LAMP2;GRB10;PAPOLA;BBX;NABP1;IDS;EIF4B"
"6" "Virus Perturbations from GEO down" "15/119" 0.00403912772014127 0.0807825544028255 0 0 2.1528679789593 11.8660195362234 "NEBL;ATP2B4;PURB;PREPL;SRR;RMND5A;ARMC10;TFDP2;GNAQ;FAM120B;CD59;ARIH1;SEPHS1;PPIA;SEC63"
"7" "LINCS L1000 Chem Pert up" "13/100" 0.0055185336571137 0.0946034341219492 0 0 2.2203245089667 11.5448950035051 "HEMK1;HLF;HUNK;ARID5B;APEH;ESR1;EPOR;CDC14B;CCND2;TRIM13;CALU;CCR9;SH3BP5"
"8" "Genome Browser PWMs" "13/102" 0.00652191050323498 0.0978286575485247 0 0 2.17678873428107 10.9548806972369 "MBNL1;KLF12;BCL11B;BNC2;HOXA11;SALL1;NR4A3;STMN1;CPNE1;E2F3;NCDN;HOXB6;SOX5"
"9" "WikiPathways 2015" "14/114" 0.00675938324770266 0.0901251099693688 0 0 2.09747254558257 10.4807003761832 "RB1;ROCK1;MAPK10;CASP7;CCND2;CASP8;RPS6KB1;SP1;TRAF6;ABL1;BCL2;PRKACA;SOS1;MAP2K6"
"10" "KEA 2013" "13/106" 0.00896065223853061 0.107527826862367 0 0 2.09464576317613 9.87607098950352 "RB1;PXN;ESR1;TGFBR1;CRKL;EEF2K;TRAF6;RASA1;STMN1;GRB10;ABL1;PRKD1;YWHAG"
"11" "WikiPathways 2013" "14/122" 0.0120375139966746 0.131318334509178 0 0 1.95993336226568 8.66237106402498 "RB1;PXN;CRKL;MAPK10;CASP7;CCND2;CASP8;RPS6KB1;RASA1;BCL2;PRKD1;PRKACA;SOS1;MAP2K6"
"12" "KEA 2015" "13/114" 0.0159345951949917 0.159345951949917 0 0 1.94765307804096 8.06184780654621 "RB1;SRF;PXN;ESR1;ADD2;EEF2K;RPS6KB1;CHEK2;STMN1;ABL1;DCX;PRKD1;MET"
"13" "ChEA 2016" "12/104" 0.0184445409537531 0.170257301111567 0 0 1.97070222689352 7.8689880487613 "ENAH;EPHA4;KLF7;JAG1;BTG1;ZMIZ1;ARID5B;ATP1B1;TRIB1;SMARCA2;MEF2D;FOSL2"
"14" "Achilles fitness decrease" "12/105" 0.0197544243743799 0.169323637494685 0 0 1.95193363425644 7.66012500918397 "RYR2;PRPF38B;EIF2B3;ADSL;AHCYL1;IGFBP5;NCBP2;CRYBB2;MDM4;ITGAV;NDUFS1;TEAD1"
"15" "NCI-Nature 2015" "12/106" 0.0211323542654854 0.169058834123883 0 0 1.93351916600873 7.45748681580688 "ROCK1;RPS6KB1;SP1;RASA1;PXN;BCL2;ITGAV;PRKACA;SOS1;YWHAG;BCAR1;MAP2K6"
"16" "VirusMINT" "18/186" 0.0250965702027698 0.188224276520774 0 0 1.65284702900747 6.09078111482746 "RB1;SRCAP;PXN;UBE3A;NAP1L1;PIAS2;POU5F1;HNRNPK;SNW1;RCN2;BAG2;PRKAR1A;SP1;IRF1;E2F3;GOPC;SF3B1;TAF1"
"17" "NCI-Nature 2016" "12/109" 0.0256936009202431 0.181366594731127 0 0 1.88030304217363 6.88475461483974 "ROCK1;RPS6KB1;SP1;RASA1;PXN;BCL2;ITGAV;PRKACA;SOS1;YWHAG;BCAR1;MAP2K6"
"18" "LINCS L1000 Chem Pert down" "11/100" 0.0319864381020625 0.213242920680417 0 0 1.87873612297182 6.46744253263545 "TOP2A;CHIC2;ZNHIT6;MAPKAPK2;CALU;SH3BP5;ZSCAN12;ATXN7L1;CDC6;ALDOA;CDC14B"
"19" "WikiPathways 2016" "11/104" 0.0409113367195512 0.258387389807692 0 0 1.80647704131906 5.77412940981956 "RB1;MAPK10;CASP7;CCND2;CASP8;RPS6KB1;SP1;BCL2;PRKACA;SOS1;MAP2K6"
"20" "Kinase Perturbations from GEO up" "13/130" 0.041272922859367 0.247637537156202 0 0 1.70794192997438 5.44414793316319 "LRPAP1;TMED10;MBD1;BSDC1;SAT1;EEF1B2;SRP72;VAPA;LAMP2;RUFY2;MLX;TSPAN3;CTSB"
"21" "ENCODE and ChEA Consensus TFs from ChIP-X" "11/105" 0.0433871475239405 0.24792655727966 0 0 1.7892724980684 5.61400711464972 "ASXL1;CBX5;BTG1;LAMP1;SLX4IP;KAT7;HBP1;E2F3;TRIB1;PPIA;ATF4"
"22" "ARCHS4 Tissues" "11/109" 0.0543150890309224 0.29626412198685 0 0 1.72361112199249 5.02079854704693 "ABLIM3;EPAS1;ME1;LIFR;HMCN1;PALM2-AKAP2;TEAD1;MID2;FBXL7;ADGRL2;BCAR1"
"23" "GeneSigDB" "10/101" 0.0714774328113505 0.372925736407046 0 0 1.69103161383602 4.46157300457139 "TOP2A;ASPM;CCND2;IGFBP5;STMN1;BCL2;BIRC5;TTK;CDC6;ESR1"
"24" "Human Gene Atlas" "11/116" 0.0775616531127476 0.387808265563738 0 0 1.61960010601019 4.14080265663565 "HEMK1;TRIO;CASP8;DGCR14;GNAQ;PAPOLA;IDS;PHACTR1;SORBS1;KLHDC10;FOSL2"
"25" "Disease Signatures from GEO up 2014" "12/137" 0.106155345091891 0.509545656441076 0 0 1.49600752990457 3.35532308844959 "ITSN2;DNAJA1;RPS9;STAU1;CLP1;GALNT1;PITPNA;WAC;TULP4;UBE3A;SAE1;PPIA"
