"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "ubiquitin-protein transferase activity (GO:0004842)" "46/417" 2.76837152048706e-05 0.0318639562008061 0 0 1.88406064217797 19.7725875710996 "RNF11;KLHL15;CUL2;RNF38;CCNF;UBE3A;UBE3B;TNFAIP1;RCHY1;KLHL31;HERC5;HERC3;C18ORF25;ZNRF3;RMND5A;TRIM5;HECTD4;ARIH1;HERC6;BARD1;UBE2H;KLHL28;MSL2;RC3H1;UBE2E2;MARCH8;UBE2G1;PEX12;CHFR;RNF144A;RNF125;GAN;TRAF6;KLHL7;RLIM;TRIM13;BIRC5;MDM4;FBXL3;CACUL1;RNF141;UBE2K;TRIM33;NAIP;FBXL7;TAF1"
"2" "ubiquitin-like protein ligase activity (GO:0061659)" "24/186" 0.000229602399223026 0.132136180752852 0 0 2.20379603867662 18.4659627977099 "PIAS4;ZNF451;UBE2H;RNF11;CUL2;RNF38;MSL2;RC3H1;UBE3A;UBE2G1;UBE3B;PIAS2;HERC5;RNF144A;HERC3;RNF125;ZNRF3;C18ORF25;HECTD4;RLIM;MDM4;ARIH1;CACUL1;HERC6"
"3" "transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001077)" "23/175" 0.000234199034031294 0.0898543627233396 0 0 2.2447236793949 18.764406716718 "HLF;BCL11B;ONECUT2;SRF;TCF12;EBF1;EBF4;ESR1;POU2F3;GLI3;NPAS4;KLF7;HNRNPK;NR4A3;SP1;WT1;IRF1;NFIC;PLAGL2;PGR;TCF4;SSBP2;MEF2D"
"4" "transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001228)" "32/284" 0.000300809419926197 0.0865579105837633 0 0 1.92444161123874 15.6053617832548 "HLF;ONECUT2;NR1I3;SRF;PRDM2;GATA2;GLI3;PLAGL2;E2F3;MEF2D;BCL11B;TCF12;EBF1;PBX2;EBF4;ESR1;POU2F3;FOSL2;NPAS4;KLF7;HNRNPK;NR4A3;TFDP2;WT1;SP1;NFIC;IRF1;CREBRF;PGR;TCF4;SSBP2;HOXD8"
"5" "RNA polymerase II regulatory region DNA binding (GO:0001012)" "24/201" 0.000721984219737292 0.166200767383525 0 0 2.0393336477306 14.7515347782961 "RB1;HLF;MAX;NR1I3;SRF;PBX2;ARID5B;PRDM2;GATA2;GLI3;SCRT1;FOSL2;PURB;NR4A3;CUX1;LMX1A;TFDP2;SP1;CREBRF;MLX;E2F3;MEF2D;HOXD8;ATF4"
"6" "calcium-transporting ATPase activity (GO:0005388)" "5/14" 0.000875059060973 0.167865496529987 0 0 6.09979260705136 42.9499766721344 "ATP2B4;ATP13A4;ATP2B3;ATP13A5;ATP13A3"
"7" "ubiquitin protein ligase activity (GO:0061630)" "23/192" 0.000881706278806682 0.144977703843784 0 0 2.04597210361514 14.3906549082745 "UBE2H;RNF11;CUL2;RNF38;MSL2;RC3H1;UBE3A;UBE2G1;UBE3B;HERC5;RNF144A;HERC3;RNF125;C18ORF25;ZNRF3;HECTD4;TRIM13;RLIM;MDM4;ARIH1;UBE2K;CACUL1;HERC6"
"8" "RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)" "44/460" 0.000956933224665698 0.137678767698777 0 0 1.63368358519289 11.357003882372 "HLF;ONECUT2;MAX;NR1I3;SRF;PRDM2;ZC3H6;GATA2;PRDM10;GLI3;PURB;CUX1;MLX;E2F3;MEF2D;NFYB;TCF12;PBX2;ARID5B;ESR1;POU2F3;SCRT1;FOSL2;NPAS4;KLF7;HNRNPK;NR6A1;NR4A3;TFDP2;LMX1A;SP1;NFIC;POU2AF1;IRF1;HAND1;CREBRF;PGR;TCF4;SSBP2;CLOCK;HOXD8;ATF4;FOXA2;TAF1"
"9" "transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0000982)" "30/280" 0.00104486598518844 0.133626749883544 0 0 1.82993778211541 12.5604489062366 "RB1;HLF;ONECUT2;MAX;SRF;GLI3;PLAGL2;TEAD1;MEF2D;BCL11B;TCF12;EBF1;EBF4;ESR1;POU2F3;FOSL2;NPAS4;KLF7;HNRNPK;NR4A3;WT1;SP1;NFIC;IRF1;HAND1;PGR;TCF4;SSBP2;CLOCK;RCOR1"
"10" "transcription regulatory region sequence-specific DNA binding (GO:0000976)" "30/292" 0.00201295217907531 0.231690795811569 0 0 1.75473485956272 10.8936622872174 "HLF;MAX;NR1I3;SRF;PRDM2;GATA2;GLI3;PURB;CUX1;NRIP1;MLX;E2F3;TEAD1;MEF2D;PBX2;ARID5B;ISL1;ESR1;PAX2;POU5F1;SCRT1;FOSL2;NR4A3;LMX1A;TFDP2;PSPC1;SP1;CREBRF;HOXD8;ATF4"
