"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "Salivary secretion" "13/90" 0.00218204298867683 0.672069240512465 0 0 2.46702723218522 15.1166937989233 "GUCY1A2;AMY1A;AMY1B;AMY1C;ATP2B4;ADCY3;ATP2B3;LPO;ATP1B1;HTN1;GNAQ;NOS1;PRKACA"
"2" "Starch and sucrose metabolism" "7/36" 0.00433254967809536 0.667212650426685 0 0 3.32099819717241 18.0715407014021 "AMY2A;AMY2B;AMY1A;AGL;AMY1B;AMY1C;HK1"
"3" "p53 signaling pathway" "10/72" 0.0089390870219857 0.917746267590532 0 0 2.37214156940886 11.1901551803587 "CASP8;CCND2;ZMAT3;CHEK2;SESN1;BCL2;PMAIP1;MDM4;RCHY1;RPRM"
"4" "Carbohydrate digestion and absorption" "7/44" 0.0132643588002527 1 0 0 2.71718034314106 11.7454865351711 "AMY2A;AMY2B;AMY1A;AMY1B;AMY1C;ATP1B1;HK1"
"5" "Autophagy" "14/128" 0.0177640029258761 1 0 0 1.86806148590948 7.5293734622942 "PRKAA2;DAPK1;MTMR4;CAMKK2;MAPK10;LAMP1;RPS6KB1;TRAF6;TP53INP2;LAMP2;RRAGD;BCL2;PRKACA;CTSB"
"6" "cAMP signaling pathway" "20/212" 0.0242288891756725 1 0 0 1.61126597167394 5.99424712019027 "CHRM2;RYR2;SUCNR1;ROCK1;ATP2B4;ADCY3;ATP2B3;CACNA1C;ATP1B1;GLI3;VAV2;MAPK10;TIAM1;HCAR1;PDE10A;PDE4B;CNGA2;PRKACA;GRIA3;GRIA4"
"7" "Circadian entrainment" "11/97" 0.0262696803908119 1 0 0 1.93684136388847 7.04882394260781 "GUCY1A2;RYR2;KCNJ6;GNG4;GNAQ;ADCY3;CACNA1C;NOS1;PRKACA;GRIA3;GRIA4"
"8" "Longevity regulating pathway" "11/102" 0.0362566182305637 1 0 0 1.84189815977629 6.10982179922449 "PRKAA2;RPS6KB1;SESN1;ADIPOQ;EIF4EBP2;ADCY3;PRKACA;EIF4E2;ATF4;CAMKK2;FOXA2"
"9" "Terpenoid backbone biosynthesis" "4/22" 0.0367556675616525 1 0 0 3.10534896358978 10.2584049246151 "NUS1;FNTB;HMGCR;ZMPSTE24"
"10" "Morphine addiction" "10/91" 0.0399305939559586 1 0 0 1.87685926370811 6.04463637369684 "GABRB2;GABRB1;PDE11A;KCNJ6;PDE10A;GNG4;GABRA4;PDE4B;ADCY3;PRKACA"
"11" "MAPK signaling pathway" "25/295" 0.0409587350059953 1 0 0 1.44740841523253 4.62474515823139 "FLT1;MAX;SRF;CACNA1C;STK4;CRKL;RPS6KA6;ERBB4;PDGFD;STMN1;PRKACA;MAP3K4;MAP2K6;MAP3K2;DUSP5;PGF;TGFBR1;MAPK10;TRAF6;RASA1;MAPKAPK2;MAP3K13;SOS1;MET;ATF4"
"12" "Human cytomegalovirus infection" "20/225" 0.0416046599989688 1 0 0 1.51817060442167 4.82708886806357 "RB1;ROCK1;PXN;ADCY3;TMEM173;CRKL;GNA13;CASP8;RPS6KB1;SP1;GNG4;GNAQ;ITGAV;E2F3;PRKACA;SOS1;CCR3;BCAR1;ATF4;MAP2K6"
"13" "Vasopressin-regulated water reabsorption" "6/44" 0.0419035411887646 0.992791591241499 0 0 2.32901172269234 7.3885217150383 "DYNC1I2;RAB5B;DCTN4;ADCY3;PRKACA;RAB11B"
"14" "Adrenergic signaling in cardiomyocytes" "14/145" 0.0451327026464461 0.992919458221815 0 0 1.64904738066492 5.10899314300394 "RYR2;ATP2B4;ADCY3;ATP2B3;CACNA1C;PPP2R5C;ATP1B1;SLC8A1;GNAQ;BCL2;SCN7A;PRKACA;SCN1B;ATF4"
"15" "GnRH signaling pathway" "10/93" 0.0452868066170637 0.929889095870375 0 0 1.83649669889718 5.68347893734707 "MAP3K2;MAPK10;GNAQ;ADCY3;CACNA1C;PRKACA;SOS1;MAP3K4;ATF4;MAP2K6"
"16" "Hedgehog signaling pathway" "6/47" 0.0550902949702282 1 0 0 2.18035139996729 6.32036276652817 "CCND2;KIF3A;BCL2;PRKACA;GLI3;CSNK1G1"
"17" "Lysosome" "12/123" 0.0566890691798621 1 0 0 1.6662848097311 4.78252712129719 "CD164;CD63;AP3M1;PSAPL1;GNPTAB;LAMP1;LAMP2;M6PR;IDS;AP3B1;AP3S1;CTSB"
"18" "Apelin signaling pathway" "13/137" 0.0584023110599535 0.999328433692538 0 0 1.62067482406328 4.60336447366403 "RYR2;JAG1;PRKAA2;ADCY3;SLC8A1;TGFBR1;GNA13;RPS6KB1;GNG4;GNAQ;NOS1;PRKACA;MEF2D"
