Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
ORC4	ENST00000392857.5	origin recognition complex, subunit 4 	1180	1*	0	0	0	2	hsa-miR-126-5p	-1.00	0	N/A
CNOT7	ENST00000361272.4	CCR4-NOT transcription complex, subunit 7 	415	1*	0	0	0	2	hsa-miR-126-5p	-1.00	0	N/A
SULT6B1	ENST00000535679.1	sulfotransferase family, cytosolic, 6B, member 1 	5	2	1	1	0	2	hsa-miR-126-5p	-0.78	-0.78	N/A
TRIM8	ENST00000302424.7	tripartite motif containing 8 	525	4	2	0	2	0	hsa-miR-126-5p	-0.74	-0.82	N/A
HSPB8	ENST00000281938.2	heat shock 22kDa protein 8 	206	2	2	0	0	1	hsa-miR-126-5p	-0.73	-0.73	N/A
NAT1	ENST00000307719.4	N-acetyltransferase 1 (arylamine N-acetyltransferase) 	89	2	2	0	0	1	hsa-miR-126-5p	-0.73	-0.75	N/A
SNRPN	ENST00000390687.4	small nuclear ribonucleoprotein polypeptide N 	114	2	2	0	0	0	hsa-miR-126-5p	-0.72	-0.72	N/A
WFDC13	ENST00000305479.2	WAP four-disulfide core domain 13 	5	3	1	0	2	2	hsa-miR-126-5p	-0.71	-0.71	N/A
VWC2	ENST00000340652.4	von Willebrand factor C domain containing 2 	5	7	3	1	3	10	hsa-miR-126-5p	-0.70	-0.70	N/A
CHI3L2	ENST00000524472.1	chitinase 3-like 2 	5	2	2	0	0	0	hsa-miR-126-5p	-0.67	-0.67	N/A
NCOA7	ENST00000392477.2	nuclear receptor coactivator 7 	2967	4	1	0	3	1	hsa-miR-126-5p	-0.67	-0.69	N/A
METTL17	ENST00000382985.4	methyltransferase like 17 	418	2	1	0	1	0	hsa-miR-126-5p	-0.66	-0.67	N/A
HOXB6	ENST00000484302.2	homeobox B6 	12	3	2	0	1	2	hsa-miR-126-5p	-0.64	-0.70	N/A
NBEAL1	ENST00000449802.1	neurobeachin-like 1 	42	6	1	2	3	7	hsa-miR-126-5p	-0.62	-0.69	N/A
TBCA	ENST00000306388.6	tubulin folding cofactor A 	3605	3	2	0	1	1	hsa-miR-126-5p	-0.61	-0.61	N/A
RP11-67H2.1	ENST00000521500.2	Uncharacterized protein  	5	2	1	1	0	2	hsa-miR-126-5p	-0.60	-0.60	N/A
BTC	ENST00000395743.3	betacellulin 	12	3	1	0	2	2	hsa-miR-126-5p	-0.59	-0.59	N/A
SLC2A13	ENST00000280871.4	solute carrier family 2 (facilitated glucose transporter), member 13 	47	6	0	3	3	7	hsa-miR-126-5p	-0.59	-0.79	N/A
MACC1	ENST00000400331.5	metastasis associated in colon cancer 1 	5	17	4	9	4	9	hsa-miR-126-5p	-0.59	-0.59	N/A
DBNDD2	ENST00000372722.3	dysbindin (dystrobrevin binding protein 1) domain containing 2 	730	2	1	0	1	0	hsa-miR-126-5p	-0.58	-0.60	N/A
RFX4	ENST00000229387.5	regulatory factor X, 4 (influences HLA class II expression) 	5	5	4	1	0	0	hsa-miR-126-5p	-0.58	-0.58	N/A
HSD11B1	ENST00000367028.2	hydroxysteroid (11-beta) dehydrogenase 1 	61	3*	2	0	0	0	hsa-miR-126-5p	-0.54	-0.54	N/A
TMEM182	ENST00000412401.2	transmembrane protein 182 	69	4	4	0	0	2	hsa-miR-126-5p	-0.53	-0.60	N/A
C21orf62	ENST00000536776.1	chromosome 21 open reading frame 62 	5	4	1	1	2	3	hsa-miR-126-5p	-0.53	-0.53	N/A
FAM183B	ENST00000409072.3	family with sequence similarity 183, member B 	5	1	1	0	0	0	hsa-miR-126-5p	-0.53	-0.53	N/A
PLSCR4	ENST00000354952.2	phospholipid scramblase 4 	133	3	1	0	2	1	hsa-miR-126-5p	-0.52	-0.53	N/A
SNURF	ENST00000338094.6	SNRPN upstream reading frame protein  	114	2	2	0	0	0	hsa-miR-126-5p	-0.52	-0.52	N/A
COMMD2	ENST00000473414.1	COMM domain containing 2 	833	3	2	0	1	3	hsa-miR-126-5p	-0.52	-0.53	N/A
C5orf47	ENST00000340147.6	chromosome 5 open reading frame 47 	15	3	2	1	0	0	hsa-miR-126-5p	-0.50	-0.56	N/A
CCDC53	ENST00000240079.6	coiled-coil domain containing 53 	16	1	1	0	0	0	hsa-miR-126-5p	-0.49	-0.49	N/A
PRTG	ENST00000561292.1	protogenin 	86	1	1	0	0	1	hsa-miR-126-5p	-0.49	-0.49	N/A
XRN1	ENST00000264951.4	5'-3' exoribonuclease 1 	612	5	0	1	4	2	hsa-miR-126-5p	-0.48	-0.48	N/A
IAH1	ENST00000470914.1	isoamyl acetate-hydrolyzing esterase 1 homolog (S. cerevisiae) 	553	1	1	0	0	0	hsa-miR-126-5p	-0.47	-0.47	N/A
AC025278.1	ENST00000377296.3	Uncharacterized protein  	5	2	2	0	0	0	hsa-miR-126-5p	-0.47	-0.47	N/A
CCL28	ENST00000361115.4	chemokine (C-C motif) ligand 28 	5	3	1	1	1	1	hsa-miR-126-5p	-0.47	-0.47	N/A
MDH1	ENST00000233114.8	malate dehydrogenase 1, NAD (soluble) 	1790	2	0	1	1	0	hsa-miR-126-5p	-0.47	-0.47	N/A
EREG	ENST00000244869.2	epiregulin 	5	4	1	0	3	2	hsa-miR-126-5p	-0.46	-0.46	N/A
KLRC3	ENST00000381903.2	killer cell lectin-like receptor subfamily C, member 3 	25	3	3	0	0	3	hsa-miR-126-5p	-0.46	-0.61	N/A
CCDC179	ENST00000532798.2	coiled-coil domain containing 179 	5	2	1	1	0	0	hsa-miR-126-5p	-0.45	-0.45	N/A
CASP3	ENST00000393585.2	caspase 3, apoptosis-related cysteine peptidase 	43	2	1	0	1	0	hsa-miR-126-5p	-0.45	-0.45	N/A
HOXC8	ENST00000040584.4	homeobox C8 	5	5	3	0	2	2	hsa-miR-126-5p	-0.45	-0.45	N/A
IDS	ENST00000422081.2	Iduronate 2-sulfatase (Hunter syndrome), isoform CRA_e; Iduronate 2-sulfatase 14 kDa chain; cDNA FLJ42669 fis, clone BRAMY2022168, highly similar to IDURONATE 2-SULFATASE   	810	4	1	1	2	5	hsa-miR-126-5p	-0.45	-0.50	N/A
ACN9	ENST00000360382.4	ACN9 homolog (S. cerevisiae) 	2260	2	1	0	1	0	hsa-miR-126-5p	-0.44	-0.46	N/A
C7orf55-LUC7L2	ENST00000354926.4	C7orf55-LUC7L2 readthrough 	419	3	1	1	1	0	hsa-miR-126-5p	-0.43	-0.47	N/A
TNFAIP8L3	ENST00000327536.5	tumor necrosis factor, alpha-induced protein 8-like 3 	259	2	2	0	0	0	hsa-miR-126-5p	-0.43	-0.43	N/A
SAMSN1	ENST00000400564.1	SAM domain, SH3 domain and nuclear localization signals 1 	5	2	1	1	0	1	hsa-miR-126-5p	-0.43	-0.43	N/A
TMEM70	ENST00000517439.1	transmembrane protein 70 	6179	1	1	0	0	2	hsa-miR-126-5p	-0.43	-0.43	N/A
CALCB	ENST00000523376.1	calcitonin-related polypeptide beta 	39	2	2	0	0	0	hsa-miR-126-5p	-0.43	-0.63	N/A
HTR1F	ENST00000319595.4	5-hydroxytryptamine (serotonin) receptor 1F, G protein-coupled 	5	3	0	0	3	3	hsa-miR-126-5p	-0.42	-0.42	N/A
AKAP4	ENST00000376056.2	A kinase (PRKA) anchor protein 4 	5	1	1	0	0	0	hsa-miR-126-5p	-0.42	-0.42	N/A
VPREB3	ENST00000398465.3	pre-B lymphocyte 3 	5	1	1	0	0	0	hsa-miR-126-5p	-0.42	-0.42	N/A
POLR2K	ENST00000353107.3	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa 	902	1	1	0	0	0	hsa-miR-126-5p	-0.42	-0.42	N/A
FZD3	ENST00000240093.3	frizzled family receptor 3 	192	6	0	2	4	12	hsa-miR-126-5p	-0.42	-0.50	N/A
METTL10	ENST00000368836.2	methyltransferase like 10 	919	2	1	0	1	1	hsa-miR-126-5p	-0.42	-0.43	N/A
LUC7L2	ENST00000541515.3	LUC7-like 2 (S. cerevisiae) 	419	3	1	1	1	0	hsa-miR-126-5p	-0.41	-0.45	N/A
A2ML1	ENST00000299698.7	alpha-2-macroglobulin-like 1 	5	3	1	0	2	1	hsa-miR-126-5p	-0.41	-0.41	N/A
KLF17	ENST00000372299.3	Kruppel-like factor 17 	11	3	1	0	2	0	hsa-miR-126-5p	-0.41	-0.41	N/A
AC124890.1	ENST00000399333.3	HCG1774533, isoform CRA_a; PRO2268; Uncharacterized protein  	15	3	0	1	2	0	hsa-miR-126-5p	-0.41	-0.41	N/A
MYD88	ENST00000495303.1	myeloid differentiation primary response 88 	319	2	1	0	1	1	hsa-miR-126-5p	-0.40	-0.41	N/A
C4orf22	ENST00000358105.3	chromosome 4 open reading frame 22 	5	2	0	1	1	0	hsa-miR-126-5p	-0.40	-0.40	N/A
AIMP1	ENST00000394701.4	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 	740	4	2	1	1	1	hsa-miR-126-5p	-0.40	-0.55	N/A
ADH4	ENST00000508393.1	alcohol dehydrogenase 4 (class II), pi polypeptide 	5	2	1	0	1	0	hsa-miR-126-5p	-0.40	-0.40	N/A
REP15	ENST00000310791.2	RAB15 effector protein 	5	2	0	0	2	0	hsa-miR-126-5p	-0.40	-0.40	N/A
ERCC1	ENST00000300853.3	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence) 	2024	1	1	0	0	0	hsa-miR-126-5p	-0.40	-0.40	N/A
IL36G	ENST00000259205.4	interleukin 36, gamma 	5	1	1	0	0	1	hsa-miR-126-5p	-0.40	-0.40	N/A
RP11-463J10.2	ENST00000556834.1	Uncharacterized protein  	5	1	1	0	0	1	hsa-miR-126-5p	-0.39	-0.39	N/A
ASMT	ENST00000381241.3	acetylserotonin O-methyltransferase 	5	1	1	0	0	0	hsa-miR-126-5p	-0.39	-0.39	N/A
C5orf34	ENST00000306862.2	chromosome 5 open reading frame 34 	1926	1	1	0	0	0	hsa-miR-126-5p	-0.39	-0.39	N/A
C19orf69	ENST00000378187.2	chromosome 19 open reading frame 69 	5	1	1	0	0	1	hsa-miR-126-5p	-0.39	-0.39	N/A
ZNF208	ENST00000397126.4	zinc finger protein 208 	0	5	1	1	3	1	hsa-miR-126-5p	-0.38	-0.38	N/A
C15orf43	ENST00000340827.3	chromosome 15 open reading frame 43 	23	2	1	1	0	1	hsa-miR-126-5p	-0.38	-0.38	N/A
BLZF1	ENST00000367808.3	basic leucine zipper nuclear factor 1 	73	3	0	1	2	1	hsa-miR-126-5p	-0.38	-0.40	N/A
BX088651.1	ENST00000540551.1	LOC100126582 protein; Uncharacterized protein  	5	1	1	0	0	1	hsa-miR-126-5p	-0.38	-0.38	N/A
PGC	ENST00000373025.3	progastricsin (pepsinogen C) 	5	1	1	0	0	0	hsa-miR-126-5p	-0.38	-0.38	N/A
GNGT1	ENST00000455502.1	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1 	5	1	0	1	0	5	hsa-miR-126-5p	-0.38	-0.38	N/A
SLC25A53	ENST00000357421.4	solute carrier family 25, member 53 	15	8	2	4	2	2	hsa-miR-126-5p	-0.38	-0.71	N/A
MRPL13	ENST00000306185.3	mitochondrial ribosomal protein L13 	1730	1	1	0	0	0	hsa-miR-126-5p	-0.37	-0.38	N/A
ARL9	ENST00000360096.2	ADP-ribosylation factor-like 9 	5	2	0	0	2	0	hsa-miR-126-5p	-0.37	-0.37	N/A
POC1B-GALNT4	ENST00000547474.1	POC1B-GALNT4 readthrough 	275	3	2	1	0	1	hsa-miR-126-5p	-0.37	-0.38	N/A
SKOR1	ENST00000341418.5	SKI family transcriptional corepressor 1 	22	2	2	0	0	0	hsa-miR-126-5p	-0.37	-0.46	N/A
S1PR3	ENST00000358157.2	sphingosine-1-phosphate receptor 3 	70	5	4	0	1	1	hsa-miR-126-5p	-0.36	-0.49	N/A
GRIK2	ENST00000413795.1	glutamate receptor, ionotropic, kainate 2 	28	6	4	1	1	1	hsa-miR-126-5p	-0.36	-0.36	N/A
PATE1	ENST00000305738.5	prostate and testis expressed 1 	5	1	1	0	0	0	hsa-miR-126-5p	-0.36	-0.36	N/A
GGT6	ENST00000301395.3	gamma-glutamyltransferase 6 	5	2	2	0	0	0	hsa-miR-126-5p	-0.36	-0.36	N/A
RP2	ENST00000218340.3	retinitis pigmentosa 2 (X-linked recessive) 	441	4	0	2	2	1	hsa-miR-126-5p	-0.36	-0.36	N/A
CCR1	ENST00000296140.3	chemokine (C-C motif) receptor 1 	10	2	1	0	1	1	hsa-miR-126-5p	-0.36	-0.36	N/A
GNE	ENST00000396594.3	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase 	22	8	3	2	3	0	hsa-miR-126-5p	-0.35	-0.35	N/A
IFI44	ENST00000370747.4	interferon-induced protein 44 	6	1	1	0	0	0	hsa-miR-126-5p	-0.35	-0.35	N/A
FUT9	ENST00000302103.5	fucosyltransferase 9 (alpha (1,3) fucosyltransferase) 	5	4	2	0	2	9	hsa-miR-126-5p	-0.35	-0.35	N/A
DTD1	ENST00000377452.3	D-tyrosyl-tRNA deacylase 1 	58	1	1	0	0	0	hsa-miR-126-5p	-0.35	-0.41	N/A
AGTR2	ENST00000371906.4	angiotensin II receptor, type 2 	5	2	1	0	1	2	hsa-miR-126-5p	-0.35	-0.35	N/A
ARSK	ENST00000380009.4	arylsulfatase family, member K 	298	5	1	2	2	3	hsa-miR-126-5p	-0.35	-0.35	N/A
CCL27	ENST00000259631.4	chemokine (C-C motif) ligand 27 	22	2	0	1	1	0	hsa-miR-126-5p	-0.35	-0.53	N/A
EFCAB5	ENST00000394835.3	EF-hand calcium binding domain 5 	5	2	0	0	2	0	hsa-miR-126-5p	-0.35	-0.35	N/A
REG3G	ENST00000393897.2	regenerating islet-derived 3 gamma 	5	1	1	0	0	0	hsa-miR-126-5p	-0.35	-0.35	N/A
CXorf61	ENST00000371894.4	chromosome X open reading frame 61 	99	1	1	0	0	0	hsa-miR-126-5p	-0.35	-0.39	N/A
TFEC	ENST00000265440.7	transcription factor EC 	5	7	0	3	4	7	hsa-miR-126-5p	-0.34	-0.34	N/A
LAMTOR3	ENST00000499666.2	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3 	67	5	1	2	2	1	hsa-miR-126-5p	-0.34	-0.56	N/A
VGLL1	ENST00000370634.3	vestigial like 1 (Drosophila) 	5	1	1	0	0	0	hsa-miR-126-5p	-0.34	-0.34	N/A
SH3BGR	ENST00000380637.3	SH3 domain binding glutamic acid-rich protein 	5	1	1	0	0	0	hsa-miR-126-5p	-0.34	-0.34	N/A
FAM27E3	ENST00000455764.2	family with sequence similarity 27, member E3 	5	1	1	0	0	0	hsa-miR-126-5p	-0.34	-0.34	N/A
MAGEB5	ENST00000602297.1	melanoma antigen family B, 5 	5	1	0	0	1	1	hsa-miR-126-5p	-0.34	-0.34	N/A
CFHR4	ENST00000608469.1	complement factor H-related 4 	5	3	1	1	1	2	hsa-miR-126-5p	-0.34	-0.36	N/A
C7orf57	ENST00000435376.1	chromosome 7 open reading frame 57 	5	2	0	1	1	1	hsa-miR-126-5p	-0.34	-0.34	N/A
RP11-724O16.1	ENST00000513963.1	Bardet-Biedl syndrome 5 protein; Uncharacterized protein  	18	1	1	0	0	0	hsa-miR-126-5p	-0.34	-0.34	N/A
MMRN1	ENST00000394980.1	multimerin 1 	5	2	2	0	0	0	hsa-miR-126-5p	-0.34	-0.34	N/A
LMBRD2	ENST00000296603.4	LMBR1 domain containing 2 	211	6	0	2	4	3	hsa-miR-126-5p	-0.34	-0.41	N/A
FAM27E1	ENST00000377525.1	family with sequence similarity 27, member E1 	5	1	1	0	0	0	hsa-miR-126-5p	-0.34	-0.34	N/A
