Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
SIX6	ENST00000327720.5	SIX homeobox 6 	5	1*	0	0	0	3	0	2	1	1	hsa-miR-424-5p	-2.09	-2.09	< 0.1	2011
ARL2	ENST00000246747.4	ADP-ribosylation factor-like 2 	7073	3	2	1	0	1	0	0	1	0	hsa-miR-497-5p	-1.28	-1.28	> 0.99	2005, 2007, 2009, 2011
CCNE1	ENST00000262643.3	cyclin E1 	954	2	2	0	0	0	0	0	0	0	hsa-miR-424-5p	-1.07	-1.07	0.97	2005, 2007, 2009, 2011
SPRED1	ENST00000299084.4	sprouty-related, EVH1 domain containing 1 	547	2	2	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.92	-0.94	0.90	2005, 2007, 2009, 2011
PLSCR4	ENST00000354952.2	phospholipid scramblase 4 	133	1	1	0	0	2	0	2	0	1	hsa-miR-16-5p	-0.91	-0.93	0.46	2011
DNAJB4	ENST00000370763.5	DnaJ (Hsp40) homolog, subfamily B, member 4 	633	2	1	1	0	2	0	2	0	1	hsa-miR-424-5p	-0.90	-1.17	0.95	2009, 2011
WNT3A	ENST00000284523.1	wingless-type MMTV integration site family, member 3A 	7	1	1	0	0	1	0	1	0	3	hsa-miR-15b-5p	-0.90	-0.90	0.91	2005, 2007, 2009, 2011
TNFSF13B	ENST00000375887.4	tumor necrosis factor (ligand) superfamily, member 13b 	5	2	2	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.89	-0.89	0.94	2011
ZBTB34	ENST00000319119.4	zinc finger and BTB domain containing 34 	726	2	1	1	0	0	0	0	0	1	hsa-miR-195-5p	-0.89	-0.96	0.84	2009, 2011
LSM11	ENST00000286307.5	LSM11, U7 small nuclear RNA associated 	1458	2	1	1	0	2	1	0	1	0	hsa-miR-424-5p	-0.88	-0.94	0.97	2011
CYB561D1	ENST00000496961.1	cytochrome b561 family, member D1 	105	1	0	0	1	3	1	1	1	2	hsa-miR-497-5p	-0.87	-0.89	0.64	
ANO3	ENST00000256737.3	anoctamin 3 	5	2	0	2	0	1	0	1	0	0	hsa-miR-16-5p	-0.86	-0.86	0.79	2005, 2007, 2009, 2011
FP15737	ENST00000399967.3		67	2	1	1	0	0	0	0	0	0	hsa-miR-424-5p	-0.85	-0.90	0.97	
TMEM74B	ENST00000381894.3	transmembrane protein 74B 	33	1	1	0	0	0	0	0	0	2	hsa-miR-424-5p	-0.85	-0.89	0.85	2005, 2007, 2009, 2011
EDA	ENST00000374553.2	ectodysplasin A 	9	2	0	2	0	2	1	1	0	2	hsa-miR-15a-5p	-0.84	-0.84	0.96	2005, 2007, 2009, 2011
PHF19	ENST00000373896.3	PHD finger protein 19 	490	3	0	3	0	1	0	1	0	2	hsa-miR-16-5p	-0.83	-0.85	0.97	2003, 2005, 2007, 2009, 2011
WEE1	ENST00000299613.6	WEE1 homolog (S. pombe) 	331	2	1	1	0	0	0	0	0	1	hsa-miR-424-5p	-0.83	-0.90	0.98	2003, 2005, 2007, 2009, 2011
BCL2L2	ENST00000250405.5	BCL2-like 2 	1380	3	0	3	0	1	0	1	0	1	hsa-miR-15a-5p	-0.82	-0.83	0.97	2005, 2007, 2009, 2011
WNT7A	ENST00000285018.4	wingless-type MMTV integration site family, member 7A 	5	2	1	1	0	1	0	1	0	0	hsa-miR-497-5p	-0.81	-0.81	0.96	2005, 2007, 2009, 2011
PTH	ENST00000282091.1	parathyroid hormone 	5	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.81	-0.81	0.62	2005, 2007, 2009, 2011
AQP11	ENST00000313578.3	aquaporin 11 	75	1	1	0	0	0	0	0	0	0	hsa-miR-16-5p	-0.80	-0.80	0.79	2009, 2011
MAMSTR	ENST00000318083.6	MEF2 activating motif and SAP domain containing transcriptional regulator 	100	3	0	3	0	0	0	0	0	1	hsa-miR-15a-5p	-0.80	-0.85	0.93	2005, 2007, 2009, 2011
CDCA4	ENST00000336219.3	cell division cycle associated 4 	194	1	1	0	0	1	0	1	0	1	hsa-miR-424-5p	-0.80	-0.83	0.90	2005, 2007, 2009, 2011
HTR2A	ENST00000378688.4	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled 	5	1	0	1	0	2	2	0	0	0	hsa-miR-424-5p	-0.79	-0.79	0.57	2009, 2011
CCDC19	ENST00000368099.4	coiled-coil domain containing 19 	5	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.78	-0.78	0.65	2009, 2011
APLN	ENST00000307484.6	apelin 	48	3	1	2	0	0	0	0	0	2	hsa-miR-15b-5p	-0.77	-0.77	0.99	2007, 2009, 2011
SLC9A6	ENST00000370698.3	solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6 	547	1	0	1	0	1	0	1	0	1	hsa-miR-16-5p	-0.77	-0.80	0.75	2005, 2007, 2009, 2011
SLC9A8	ENST00000361573.2	solute carrier family 9, subfamily A (NHE8, cation proton antiporter 8), member 8 	474	1	0	1	0	3	0	2	1	2	hsa-miR-15b-5p	-0.76	-0.79	0.72	2011
SNCG	ENST00000348795.4	synuclein, gamma (breast cancer-specific protein 1) 	375	1	0	1	0	1	0	1	0	0	hsa-miR-497-5p	-0.76	-0.77	0.69	2009, 2011
NEK10	ENST00000295720.6	NIMA-related kinase 10 	66	1	1	0	0	3	1	2	0	0	hsa-miR-497-5p	-0.75	-0.96	0.88	
MYB	ENST00000367814.4	v-myb avian myeloblastosis viral oncogene homolog 	39	2	2	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.75	-0.75	0.98	2007, 2009, 2011
DESI1	ENST00000263256.6	desumoylating isopeptidase 1 	1513	3	2	1	0	1	1	0	0	0	hsa-miR-497-5p	-0.75	-1.26	0.96	2011
