Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
POU5F1	ENST00000441888.3	POU class 5 homeobox 1 	5	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.62	-0.62	N/A	2011
HAND1	ENST00000231121.2	heart and neural crest derivatives expressed 1 	5	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.58	-0.58	N/A	2007, 2009, 2011
CASP7	ENST00000369331.4	caspase 7, apoptosis-related cysteine peptidase 	277	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.54	-0.54	N/A	
TRIM5	ENST00000396847.3	tripartite motif containing 5 	435	1	1	0	0	1	0	1	0	1	hsa-miR-335-5p	-0.47	-0.47	N/A	
CCR3	ENST00000545097.1	chemokine (C-C motif) receptor 3 	5	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.46	-0.46	N/A	
CPZ	ENST00000382480.2	carboxypeptidase Z 	25	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.46	-0.46	N/A	2011
ZMPSTE24	ENST00000372759.3	zinc metallopeptidase STE24 	513	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.44	-0.44	N/A	2011
ARGLU1	ENST00000400198.3	arginine and glutamate rich 1 	9450	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.44	-0.47	N/A	2009, 2011
FKBP1B	ENST00000380991.4	FK506 binding protein 1B, 12.6 kDa 	232	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.40	-0.41	N/A	2009, 2011
HOXD8	ENST00000313173.4	homeobox D8 	752	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.40	-0.40	N/A	2007, 2009, 2011
